Arguments 4 6 1001 100
 depth 13 E2 1 4 | E2X 1 4
 depth 20 E2 1 2 | E2X 1 2
 depth 19 E2 1 2 | E2X 1 2
 depth 16 E2 1 7 | E2X 1 7
 depth 17 E1 1 0 | E1X 1 0
 depth 21 E2 1 2 | E2X 1 2
 depth 18 E2 1 6 | E2X 1 6
 depth 14 E2 1 4 | E2X 1 4
 depth 18 E2 1 4 | E2X 1 4
 depth 16 E2 1 3 | E2X 1 3
 depth 16 E2 1 5 | E2X 1 5
 depth 30 E2 1 3 | E2X 1 3
 depth 28 E2 1 6 | E2X 1 6
 depth 28 E2 1 1 | E2X 1 1
 depth 27 E2 1 6 | E2X 1 6
 depth 29 E2 1 5 | E2X 1 5
 depth 27 E2 1 4 | E2X 1 4
 depth 24 E2 1 13 | E2X 1 13
 depth 30 E2 1 7 | E2X 1 7
 depth 25 E2 1 4 | E2X 1 4
 depth 22 E2 1 7 | E2X 1 7
 depth 27 E2 1 1 | E2X 1 1
 depth 24 E2 1 2 | E2X 1 2
 depth 27 E2 1 11 | E2X 1 11
 depth 23 E2 1 4 | E2X 1 4
 depth 27 E2 1 4 | E2X 1 4
 depth 30 E2 1 2 | E2X 1 2
 depth 26 E2 1 6 | E2X 1 6
 depth 33 E2 1 1 | E2X 1 1
 depth 21 E2 1 13 | E2X 1 13
 depth 23 E1 1 0 | E1X 1 0
 depth 16 E2 1 7 | E2X 1 7
 depth 23 E2 1 2 | E2X 1 2
 depth 16 E2 1 8 | E2X 1 8
 depth 12 E2 1 11 | E2X 1 11
 depth 13 E2 1 2 | E2X 1 2
 depth 23 E2 1 5 | E2X 1 5
 depth 26 E2 1 1 | E2X 1 1
 depth 23 E2 1 2 | E2X 1 2
 depth 20 E2 1 2 | E2X 1 2
 depth 17 E2 1 2 | E2X 1 2
 depth 17 E2 1 2 | E2X 1 2
 depth 16 E1 1 0 | E1X 1 0
 depth 20 E1 1 0 | E1X 1 0
 depth 17 E2 1 5 | E2X 1 5
 depth 17 E2 1 3 | E2X 1 3
 depth 17 E1 1 0 | E1X 1 0
 depth 25 E1 1 0 | E1X 1 0
 depth 23 E2 1 2 | E2X 1 2
 depth 16 E2 1 7 | E2X 1 7
 depth 22 E2 1 2 | E2X 1 2
 depth 18 E2 1 7 | E2X 1 7
 depth 12 E2 1 5 | E2X 1 5
 depth 25 E1 1 0 | E1X 1 0
 depth 23 E2 1 1 | E2X 1 1
 depth 26 E1 1 0 | E1X 1 0
 depth 24 E2 1 6 | E2X 1 6
 depth 13 E2 1 12 | E2X 1 12
 depth 12 E2 1 1 | E2X 1 1
 depth 15 E1 1 0 | E1X 1 0
 depth 18 E2 1 1 | E2X 1 1
 depth 16 E2 1 2 | E2X 1 2
 depth 17 E1 1 0 | E1X 1 0
 depth 23 E1 1 0 | E1X 1 0
 depth 21 E2 1 4 | E2X 1 4
 depth 21 E2 1 2 | E2X 1 2
 depth 17 E2 1 9 | E2X 1 9
 depth 25 E2 1 2 | E2X 1 2
 depth 21 E2 1 6 | E2X 1 6
 depth 12 E2 1 15 | E2X 1 15
 depth 14 E2 1 1 | E2X 1 1
 depth 12 E2 1 15 | E2X 1 15
 depth 13 E2 1 1 | E2X 1 1
 depth 11 E2 1 3 | E2X 1 3
 depth 7 E2 1 6 | E2X 1 6
 depth 11 E1 1 0 | E1X 1 0
 depth 5 E2 1 5 | E2X 1 5
 depth 6 E2 1 1 | E2X 1 1
 depth 20 E2 1 3 | E2X 1 3
 depth 13 E2 1 10 | E2X 1 10
 depth 16 E2 1 1 | E2X 1 1
 depth 10 E2 1 5 | E2X 1 5
Ackermann 7
calls 5901 exceptions 82 destructors 0
