Arguments 4 6 1000 100
 depth 12 E2 1 5 | E2X 1 5
 depth 21 E2 1 1 | E2X 1 1
 depth 13 E2 1 8 | E2X 1 8
 depth 15 E2 1 1 | E2X 1 1
 depth 17 E2 1 3 | E2X 1 3
 depth 17 E1 1 0 | E1X 1 0
 depth 16 E2 1 3 | E2X 1 3
 depth 20 E2 1 7 | E2X 1 7
 depth 22 E2 1 4 | E2X 1 4
 depth 31 E1 1 0 | depth 30 E2 1 1 | E2X 1 1
 depth 32 E2 1 1 | E2X 1 1
 depth 30 E2 1 3 | E2X 1 3
 depth 29 E2 1 2 | E2X 1 2
 depth 28 E1 1 0 | E1X 1 0
 depth 29 E1 1 0 | E1X 1 0
 depth 21 E2 1 8 | E2X 1 8
 depth 21 E2 1 3 | E2X 1 3
 depth 23 E2 1 3 | E2X 1 3
 depth 22 E2 1 6 | E2X 1 6
 depth 21 E2 1 1 | E2X 1 1
 depth 24 E1 1 0 | E1X 1 0
 depth 22 E2 1 2 | E2X 1 2
 depth 36 E1 1 0 | E1X 1 0
 depth 33 E2 1 5 | E2X 1 5
 depth 28 E2 1 4 | E2X 1 4
 depth 23 E2 1 5 | E2X 1 5
 depth 26 E2 1 6 | E2X 1 6
 depth 24 E2 1 3 | E2X 1 3
 depth 20 E2 1 8 | E2X 1 8
 depth 14 E2 1 6 | E2X 1 6
 depth 16 E2 1 9 | E2X 1 9
 depth 19 E2 1 2 | E2X 1 2
 depth 15 E2 1 3 | E2X 1 3
 depth 11 E2 1 7 | E2X 1 7
 depth 12 E1 1 0 | E1X 1 0
 depth 19 E1 1 0 | E1X 1 0
 depth 24 E2 1 2 | E2X 1 2
 depth 11 E2 1 15 | E2X 1 15
 depth 19 E2 1 2 | E2X 1 2
 depth 19 E2 1 1 | E2X 1 1
 depth 17 E2 1 5 | E2X 1 5
 depth 19 E2 1 4 | E2X 1 4
 depth 20 E1 1 0 | E1X 1 0
 depth 23 E2 1 2 | E2X 1 2
 depth 21 E2 1 1 | E2X 1 1
 depth 16 E2 1 8 | E2X 1 8
 depth 16 E2 1 3 | E2X 1 3
 depth 22 E2 1 4 | E2X 1 4
 depth 23 E1 1 0 | depth 22 E2 1 1 | E2X 1 1
 depth 16 E2 1 6 | E2X 1 6
 depth 15 E2 1 7 | E2X 1 7
 depth 20 E2 1 1 | E2X 1 1
 depth 21 E2 1 2 | E2X 1 2
 depth 21 E1 1 0 | E1X 1 0
 depth 18 E2 1 5 | E2X 1 5
 depth 17 E2 1 6 | E2X 1 6
 depth 15 E2 1 2 | E2X 1 2
 depth 11 E2 1 6 | E2X 1 6
 depth 14 E2 1 1 | E2X 1 1
 depth 8 E2 1 7 | E2X 1 7
 depth 14 E2 1 9 | E2X 1 9
 depth 11 E2 1 7 | E2X 1 7
 depth 10 E2 1 2 | E2X 1 2
 depth 14 E2 1 2 | E2X 1 2
 depth 16 E2 1 2 | E2X 1 2
 depth 18 E2 1 1 | E2X 1 1
 depth 18 E1 1 0 | E1X 1 0
 depth 18 E2 1 2 | E2X 1 2
 depth 17 E2 1 3 | E2X 1 3
 depth 12 E2 1 5 | E2X 1 5
 depth 7 E2 1 8 | E2X 1 8
 depth 6 E2 1 7 | E2X 1 7
 depth 10 E2 1 6 | E2X 1 6
 depth 14 E2 1 1 | E2X 1 1
 depth 8 E2 1 5 | E2X 1 5
 depth 9 E2 1 8 | E2X 1 8
 depth 4 E2 1 7 | E2X 1 7
Ackermann 2
calls 4544 exceptions 79 destructors 0
